Name,No. Posts,No. Followers,No. Following,No. Likes Ex 10 post,No. Likes Ex 11 post,No. Likes Ex 12 post,No. self posts from ex 9 posts, Sex,Date
User_409,280,"4,107","4,063",577,614,660,9,m,
User_410,76,"1,135",807,422,252,139,6,f,
User_411,740,"2,333","2,214",110,131,126,7,m,
User_412,826,"1,245",442,70,85,63,8,f,
User_413,71,582,542,46,61,56,8,m,
User_414,171,"5,979","4,286",322,313,344,6,m,
User_415,76,"1,746","7,499",50,52,51,8,m,
User_416,52,"3,453","4,185",215,307,251,9,f,
User_417,128,127,376,3,3,3,9,m,
User_418,124,511,"3,944",51,35,33,4,m,
User_419,53,642,"1,641",20,16,13,8,m,
User_420,132,323,966,16,15,18,7,f,
User_421,92,127,294,3,4,6,5,f,
User_422,242,"1,289","1,032",17,21,20,6,f,
User_423,379,308,"4,608",11,21,18,0,m,
User_424,69,602,"5,895",61,81,71,4,m,
User_425,268,"5,321","3,285",132,166,96,9,f,
User_426,59,330,"1,784",44,26,26,5,m,
User_427,76,"7,068","7,191",1498,1956,1757,0,f,
User_428,"1,108","1,021","7,008",85,93,58,1,f,
User_429,56,"1,423","2,601",69,65,73,9,f,
User_430,215,604,"2,750",94,84,68,0,m,
User_431,166,"1,325","1,433",337,253,333,0,m,
User_432,725,284,252,38,40,36,0,m,
User_433,468,830,474,163,199,171,0,m,
User_434,103,145,360,6,11,13,0,m,
User_435,832,579,712,64,71,71,0,m,
User_436,360,732,898,123,152,241,0,m,
User_437,265,261,610,47,55,59,0,m,
User_438,934,278,"1,264",25,28,39,0,m,
User_439,558,"1,108","1,088",91,131,138,0,m,
User_440,969,183,582,24,31,141,0,m,
User_441,295,983,971,163,169,190,0,m,
User_442,277,210,286,93,46,80,0,f,
User_443,750,238,215,45,28,36,3,f,
User_444,239,535,629,225,216,198,0,m,
User_445,109,"3,721","2,327",504,346,473,0,m,
User_446,375,"1,320",707,211,214,210,0,f,
User_447,310,"3,187","4,035",603,572,466,0,m,
User_448,602,844,641,129,260,163,4,f,Mar 26 2017
User_449,187,"1,319",468,40,41,83,4,m,
User_450,72,305,524,32,48,42,7,m,
User_451,207,248,"1,302",15,6,15,2,m,
User_452,161,435,"1,585",47,31,21,2,m,
User_453,213,219,150,62,27,69,9,f,
User_454,364,707,699,35,40,31,7,m,
User_455,350,"9,455","5,121",243,680,247,3,m,
User_456,593,460,439,33,46,14,3,f,
User_457,388,579,630,304,148,147,1,f,
User_458,129,"6,225","1,966",1012,954,853,5,f,
User_459,110,240,329,47,11,23,7,f,
User_460,"1,635","1,309","7,498",25,62,67,2,f,
User_461,59,341,"1,734",2,1,1,9,f,
User_462,728,863,"1,196",128,74,113,6,f,
User_463,"2,698","2,908",899,281,166,246,1,f,
User_464,"1,356","1,161",973,31,31,37,8,f,
User_465,"2,429",520,753,16,44,6,0,f,
User_466,263,136,277,0,1,1,2,f,
User_467,700,833,586,154,99,142,0,f,
User_468,"1,424","1,453",890,98,92,104,2,f,
User_469,"1,266",546,284,85,69,61,2,f,
User_470,509,"1,496","1,049",298,287,211,5,f,
User_471,367,371,307,95,117,101,0,f,
User_472,177,"5,096","5,716",300,234,336,2,m,
User_473,322,"7,876",401,275,247,293,0,f,
User_474,370,"1,841",143,82,81,58,0,f,
User_475,325,277,791,6,11,11,4,f,
User_476,374,535,425,77,63,64,9,m,
User_477,624,"1,417",504,37,38,74,2,f,
User_478,193,871,"1,929",3,21,6,3,f,
User_479,"1,224",895,"1,249",45,51,59,4,f,
User_480,56,194,422,25,24,86,8,m,
User_481,289,649,699,65,71,141,1,f,
User_482,85,422,"1,929",25,58,25,8,m,
User_483,181,230,898,45,67,57,8,m,
User_484,198,510,912,108,86,94,0,f,
User_485,849,"1,564","1,681",35,31,33,1,f,
User_486,"2,345","2,675","5,384",106,98,90,1,f,
User_487,225,208,229,30,12,49,2,f,
User_488,62,312,"1,090",80,72,56,7,m,
User_489,203,374,"1,124",126,83,89,7,m,
User_490,728,590,525,43,103,46,3,f,
User_491,440,"1,073","2,138",26,65,31,1,m,
User_492,353,655,758,107,161,140,6,f,
User_493,268,519,675,83,82,52,1,m,
User_494,"1,894","1,305","6,072",86,69,114,5,m,
User_495,163,"8,400","5,051",188,167,207,0,m,
User_496,"1,825","5,852","7,122",161,129,214,0,m,
User_497,64,113,256,5,8,11,1,f,Mar 27 2017
User_498,73,"2,853","6,425",107,137,222,8,f,
User_499,361,"4,026",938,378,311,354,4,m,
User_500,67,154,393,32,36,23,7,f,
User_501,679,1259,703,82,39,88,5,f,
User_502,158,"1,224",245,154,138,138,7,f,
User_503,187,"3,878","1,660",127,171,118,8,f,
User_504,336,288,264,48,18,25,0,f,
User_505,159,"1,178",762,192,226,209,9,f,
User_506,96,843,"4,917",114,43,36,6,m,
User_507,395,647,944,25,26,34,4,f,
User_508,268,"6,006","6,116",236,250,432,6,f,
User_509,110,"9,462","1,008",646,418,603,9,m,
User_510,257,534,756,31,39,18,4,f,
User_511,92,"3,185","2,177",259,185,133,2,f,
User_512,63,483,330,43,31,34,9,f,
User_513,210,762,"2,093",13,16,29,7,f,
User_514,97,"1,526","2,702",201,212,233,7,m,
User_515,77,921,"2,127",29,52,44,4,m,
User_516,233,436,494,5,6,1,9,m,
User_517,83,738,"1,907",64,72,69,9,m,
User_518,67,569,"1,184",20,15,19,8,m,
User_519,62,"1,298",996,53,55,43,9,m,
User_520,440,"2,141","4,920",57,49,21,8,f,
User_521,93,933,501,41,30,34,9,f,
User_522,143,132,374,5,3,6,0,m,
User_523,247,"1,108",958,17,25,13,9,m,
User_524,104,185,"1,208",18,11,7,7,m,
User_525,51,16,32,0,1,2,1,m,
User_526,80,"4,677",421,280,156,45,8,f,
User_527,127,"6,528",977,1015,687,729,9,m,
User_528,105,104,311,5,3,8,9,f,
User_529,81,64,174,1,0,0,9,m,
User_530,66,"1,483","1,076",22,37,35,2,f,
User_531,"1,208","1,131","4,759",8,8,7,0,m,
User_532,203,"6,054","6,553",211,236,224,9,m,
User_533,"1,352",774,"2,795",59,57,51,9,m,
User_534,143,"7,611","3,985",1154,1266,1447,9,m,
User_535,734,621,"1,248",22,50,45,4,m,
User_536,240,"1,270","6,411",125,112,185,1,f,
User_537,219,"1,224","1,146",20,11,80,5,f,
User_538,67,134,104,22,13,25,4,f,
User_539,52,832,"2,282",37,25,36,5,f,
User_540,90,"6,449","4,374",503,130,542,6,f,
User_541,264,104,55,20,19,11,1,m,
User_542,"1,635",663,846,4,9,33,3,f,
User_543,181,"8,834","4,587",516,609,752,2,m,
User_544,73,610,"1,293",32,76,85,3,m,
User_545,231,"3,106","3,841",114,98,84,9,m,
User_546,248,512,"1,660",62,42,65,0,m,
User_547,127,189,690,17,39,22,5,m,
User_548,717,"1,656","1,390",124,124,116,5,f,
User_549,290,"2,662","3,964",125,113,152,0,m,
User_550,173,"2,949",472,95,67,110,8,f,
User_551,79,"1,976","7,140",181,192,112,9,m,
User_552,132,"7,303","1,936",797,1209,1185,9,f,
User_553,982,596,"1,837",46,56,25,4,f,
User_554,583,"2,437","7,499",23,21,18,0,f,
User_555,51,"2,930","5,091",86,112,81,8,f,
User_556,159,"2,471","1,380",307,301,294,3,f,
User_557,497,"2,902","3,685",490,544,481,0,m,
User_558,"1,708",774,"1,420",31,49,33,1,f,
User_559,59,"4,691","1,081",1141,1196,1467,8,m,
User_560,335,"1,180","3,073",116,103,47,1,f,
User_561,"1,495","4,137","3,642",122,116,102,0,f,
User_562,321,651,564,96,92,157,8,f,
User_563,399,"8,066","2,153",771,342,343,6,f,
User_564,420,"1,780","4,992",56,70,74,1,f,
User_565,170,"3,112","7,462",63,88,103,9,m,
User_566,947,"1,064","4,105",96,22,42,0,f,
User_567,139,155,473,36,45,35,2,f,Mar 29 2017
User_568,273,"4,433","6,733",75,92,113,1,f,
User_569,60,175,295,16,6,6,9,f,
User_570,"1,527","2,471","4,805",133,121,57,5,f,
User_571,294,346,566,47,18,47,1,f,
User_572,160,"4,348","6,096",442,549,275,2,m,
User_573,76,"1,130","5,837",55,110,70,0,m,
User_574,226,312,"1,326",95,75,75,2,f,
User_575,732,272,364,12,9,10,0,m,
User_576,166,"1,087","1,489",47,43,36,2,f,
User_577,99,383,405,29,35,62,4,m,
User_578,178,223,180,7,2,8,1,f,
User_579,267,357,530,3,3,3,2,f,
User_580,272,"1,814","3,422",40,22,34,5,m,
User_581,197,455,925,10,11,22,0,m,
User_582,296,216,866,3,3,1,4,m,
User_583,65,124,431,18,23,18,0,m,
User_584,69,"1,368","4,133",95,60,25,5,m,
User_585,764,260,751,4,2,2,0,f,
User_586,138,154,210,4,9,3,0,f,
User_587,51,876,"1,353",34,16,38,0,m,
User_588,79,310,620,8,2,5,7,m,
User_589,71,328,363,6,3,8,7,f,
User_590,265,807,"2,795",7,7,4,5,m,
User_591,109,173,205,7,6,10,5,m,
User_592,318,725,869,11,12,7,9,m,
User_593,"4,587","9,785","1,777",644,616,601,0,m,
User_594,191,"3,149",155,189,192,219,0,m,
User_595,436,603,"1,837",12,48,24,0,f,
User_596,126,130,276,8,15,6,0,m,
User_597,220,"8,461","6,828",360,886,693,6,m,
User_598,273,712,"2,507",153,175,155,2,m,
User_599,546,"1,027",442,128,55,54,7,f,
User_600,225,"1,263",597,160,109,89,9,f,
User_601,754,"2,068","6,230",55,79,52,0,f,
User_602,158,"2,893","5,625",34,35,66,0,m,
User_603,330,"1,375",984,59,51,29,0,f,
User_604,879,"7,991","6,822",160,226,169,4,f,
User_605,84,"8,022","5,923",118,156,47,3,m,
User_606,121,"1,836","4,793",18,16,7,3,f,
User_607,"1,206","3,244","2,705",136,152,133,6,f,
User_608,180,500,540,468,443,471,3,f,
User_609,481,"2,427",910,69,68,78,2,f,Mar 30 2017
User_610,767,"4,928","1,367",178,153,150,0,f,
User_611,210,"2,210","2,239",318,326,688,1,f,
User_612,225,"1,193","4,210",36,74,52,1,f,
User_613,89,"1,580","2,150",70,53,74,9,m,
User_614,337,"3,053","5,660",30,103,104,5,m,
User_615,"1,340","1,659",856,34,18,31,2,f,
User_616,123,"1,452","1,747",51,69,53,3,f,
User_617,592,"4,727",327,203,128,284,9,f,
User_618,500,266,753,15,3,8,4,f,
User_619,112,"1,649","6,799",126,176,122,1,m,
User_620,499,295,588,26,16,11,2,f,
User_621,58,86,231,10,0,0,0,f,
User_622,53,88,237,4,8,7,0,m,
User_623,95,714,"2,787",53,77,98,6,f,
User_624,789,642,"2,724",47,110,50,6,f,
User_625,570,630,397,75,87,96,3,f,
User_626,105,229,"1,031",74,61,61,7,m,
User_627,171,"5,028","6,762",292,220,247,2,f,
User_628,340,123,238,8,19,11,3,f,
User_629,"1,806","2,803","1,163",39,83,44,2,m,
User_630,314,956,746,47,72,41,1,m,
User_631,185,683,353,50,33,48,0,f,
User_632,332,226,374,50,40,55,4,m,
User_633,810,"1,967","1,726",95,110,88,5,m,
User_634,834,280,404,6,11,9,2,m,
User_635,81,85,53,6,1,6,1,f,
User_636,57,76,72,13,6,9,0,f,
User_637,216,495,"2,158",84,58,55,2,f,
User_638,68,77,248,4,15,33,1,f,
User_639,71,168,"1,121",77,47,28,1,f,
User_640,487,807,"3,006",32,17,22,8,m,
User_641,121,176,465,34,30,21,2,f,
User_642,788,"1,616","5,054",15,32,20,1,f,
User_643,"1,137",511,851,71,38,88,0,f,
User_644,51,303,"1,139",17,21,27,6,m,
User_645,"1,959",166,886,5,4,3,0,f,
User_646,171,628,"3,171",72,64,71,3,f,
User_647,215,250,480,27,19,16,0,f,
User_648,69,196,508,26,40,24,5,f,
User_649,137,"1,295","4,194",22,18,49,4,f,
User_650,71,622,"2,108",22,20,11,6,m,
User_651,801,"2,766","4,412",86,85,94,0,m,
User_652,82,567,"2,984",85,81,55,3,m,Mar 31 2017
User_653,280,"1,260","3,123",103,150,67,1,m,
User_654,87,705,726,15,28,14,2,f,
User_655,217,281,246,20,16,21,1,f,
User_656,163,"2,288","2,283",45,38,25,0,f,
User_657,180,649,"1,147",126,153,132,6,f,
User_658,354,366,478,6,5,9,0,f,
User_659,847,429,298,14,8,9,4,m,
User_660,479,935,"1,120",78,41,68,0,f,
User_661,193,638,"3,933",35,32,25,0,f,
User_662,396,"1,887","5,565",84,57,46,3,f,
User_663,328,258,142,28,15,11,8,m,
User_664,104,833,"1,318",47,72,45,1,f,
User_665,"1,084","1,206","4,686",22,13,13,0,f,
User_666,171,71,248,13,6,6,5,m,
User_667,863,"1,750","7,474",20,27,15,4,f,
User_668,158,"1,218","3,308",162,184,156,1,m,
User_669,125,"1,305","2,209",40,49,51,2,m,
User_670,62,496,"1,704",61,17,48,3,f,
User_671,190,999,"3,018",40,79,28,8,f,
User_672,61,233,"1,478",14,14,12,2,f,
User_673,729,672,969,85,102,62,6,m,
User_674,93,"1,984","4,800",161,143,95,4,m,
User_675,407,455,504,47,55,17,3,f,
User_676,93,"1,430","4,195",109,138,130,1,m,
User_677,"1,922","1,284","2,177",15,12,17,7,f,
User_678,124,215,433,39,29,29,0,f,
User_679,92,"1,409","1,615",109,143,145,4,f,
User_680,52,626,"2,987",39,133,53,2,m,
User_681,231,199,638,41,12,24,0,m,
User_682,97,"1,054","2,307",60,57,31,7,m,
User_683,853,"2,484","2,775",106,137,102,7,m,
User_684,446,"2,132","7,492",30,15,9,1,m,
User_685,172,102,184,31,26,30,8,m,
User_686,145,"1,038","3,288",17,33,12,2,m,
User_687,174,742,"3,771",33,148,68,6,m,
User_688,98,667,"3,011",64,57,40,2,m,
User_689,70,467,511,12,10,19,4,m,
User_690,88,"1,148","4,877",34,32,27,0,m,
User_691,140,857,"6,690",202,106,82,9,m,
User_692,82,995,"1,548",20,26,20,0,m,
User_693,67,265,"1,286",62,51,40,0,f,Apr 1 2017
User_694,74,437,"1,730",9,13,8,2,f,
User_695,86,301,"1,754",3,4,3,7,m,
User_696,874,"5,478","1,387",195,102,181,4,f,
User_697,622,"1,159","4,499",69,61,42,0,m,
User_698,228,252,"2,804",18,9,8,4,m,
User_699,129,635,"1,522",9,6,112,1,m,
User_700,58,"1,108","4,825",28,19,18,7,m,
User_701,358,294,"1,280",4,2,6,1,m,
User_702,172,"1,267","5,409",114,122,96,3,m,
User_703,96,406,"1,794",53,80,66,8,m,
User_704,197,366,"1,353",40,57,32,0,f,
User_705,66,474,"1,831",56,73,123,7,m,
User_706,56,62,158,9,13,22,0,f,
User_707,87,928,"3,229",220,216,274,0,m,
User_708,"1,001",866,"5,833",90,81,101,0,m,
User_709,"1,740",778,"4,216",44,32,58,5,m,
User_710,82,568,"1,387",61,67,74,7,m,
User_711,113,497,685,27,32,35,0,m,
User_712,54,310,663,68,61,61,6,m,
User_713,166,363,"2,514",72,92,111,4,m,
User_714,97,660,"2,165",32,59,66,8,m,
User_715,"1,817",865,"3,289",29,36,39,0,m,
User_716,"6,948","1,177","3,368",29,48,46,0,m,
User_717,72,370,"2,742",30,25,21,3,m,
User_718,90,174,399,8,8,7,7,f,
User_719,51,151,501,5,6,5,9,m,
User_720,78,605,"2,771",5,17,11,6,m,
User_721,109,353,"1,363",23,27,30,6,m,
User_722,54,106,508,5,7,30,3,m,
User_723,490,835,"6,437",76,74,67,3,m,
User_724,166,709,"6,087",10,9,6,6,m,
User_725,65,656,"6,396",27,25,46,1,m,
User_726,57,174,"1,554",35,26,84,0,m,
User_727,78,767,"6,527",50,48,26,8,m,
User_728,116,203,"1,773",14,16,22,2,m,
User_729,133,523,"6,107",10,12,7,9,m,
User_730,230,316,316,21,26,40,6,m,
User_731,101,455,"3,816",9,30,35,9,m,
User_732,147,886,"7,076",11,28,30,2,m,
User_733,59,671,"4,614",28,25,8,9,m,
User_734,89,146,862,12,12,8,2,m,
User_735,293,"3,570",14,465,520,240,1,f,
User_736,615,"1,328","7,392",43,54,67,4,m,
User_737,377,"1,563","4,135",26,15,17,6,m,
User_738,"1,317","4,059","5,196",109,170,202,0,m,
User_739,107,"1,695","2,001",157,133,146,1,m,
User_740,123,397,914,9,12,8,3,m,
User_741,780,877,"2,566",25,78,54,0,m,
User_742,112,325,711,23,10,10,0,m,
User_743,"3,113",370,752,7,16,4,0,m,
User_744,113,702,"1,140",19,12,15,2,m,
User_745,219,608,"2,468",37,41,34,0,m,
User_746,340,331,837,19,14,12,0,m,
User_747,846,"1,066","1,706",100,76,89,0,m,
User_748,232,365,670,54,59,51,5,m,
User_749,"1,259",604,"1,876",15,18,10,3,m,
User_750,"3,382",711,852,26,22,34,0,m,
User_751,"1,468","8,683","7,479",765,831,654,8,m,
User_752,132,472,"1,940",42,32,44,0,m,
User_753,542,"1,058","2,973",66,84,59,5,f,
User_754,707,963,"6,694",12,8,8,2,m,
User_755,"1,330","1,996","7,500",29,90,70,3,f,
User_756,305,207,92,6,12,5,1,f,
User_757,163,771,"1,280",48,111,68,0,f,Apr 2 2017
User_758,236,665,"4,225",24,14,7,1,f,
User_759,50,541,369,50,43,37,3,f,
User_760,64,305,"1,069",17,8,23,0,m,
User_761,153,"1,011",449,246,180,147,5,m,
User_762,"2,556",593,"3,573",31,53,35,4,f,
User_763,138,502,604,21,47,62,3,f,
User_764,641,"2,201","5,564",254,173,121,2,f,
User_765,93,"6,167","1,115",81,104,88,4,f,
User_766,92,510,"1,553",235,174,239,0,m,
User_767,361,"3,652","2,891",225,211,250,8,m,
User_768,99,318,728,43,49,58,3,f,
User_769,138,229,"1,084",25,19,15,1,f,
User_770,"1,012",821,"1,352",66,77,50,2,f,
User_771,627,493,934,24,34,15,0,m,
User_772,879,647,353,57,58,64,1,f,
User_773,55,136,809,11,28,17,0,m,
User_774,555,615,895,63,34,97,7,m,
User_775,212,318,407,9,6,24,3,f,
User_776,65,"2,347","7,486",331,335,242,1,f,
User_777,"1,458","1,707","1,515",41,79,51,3,f,
User_778,100,287,180,23,24,41,2,f,
User_779,950,619,695,77,67,72,3,f,
User_780,496,376,415,56,36,63,2,f,
User_781,197,366,754,35,21,8,6,m,
User_782,55,47,190,9,33,56,0,f,
User_783,166,614,644,41,66,29,0,m,
User_784,374,"2,140","6,558",85,116,87,0,m,
User_785,880,"1,093","3,741",55,35,34,5,f,
User_786,150,984,"7,485",7,12,20,1,m,
User_787,145,108,525,12,16,39,0,m,
User_788,513,"1,748","7,500",84,77,91,3,f,
User_789,689,386,771,25,39,70,0,f,
User_790,172,311,610,25,37,19,4,f,
User_791,836,"2,679",581,140,142,138,2,m,
User_792,156,"7,671","4,107",1341,1098,899,2,m,
User_793,253,409,"1,413",70,76,18,4,m,
User_794,238,"3,399","5,361",411,314,265,0,f,
User_795,510,"2,534","7,497",14,32,8,0,f,
User_796,99,"2,083","4,555",161,150,127,0,m,
User_797,131,236,959,37,28,19,8,m,
User_798,115,"5,455","7,442",160,177,247,0,m,
User_799,110,189,134,18,17,18,0,f,
User_800,72,524,"1,665",103,121,107,0,m,
User_801,348,"1,163","1,398",33,56,50,4,f,
User_802,120,155,480,22,11,28,0,m,
User_803,"1,338",750,"1,644",22,12,13,0,m,
User_804,87,377,670,19,28,22,6,m,
User_805,53,277,"1,051",0,0,1,6,m,
User_806,349,"1,524","1,865",61,53,82,0,m,
User_807,117,936,"1,908",68,36,36,0,m,
User_808,656,"2,682","6,818",144,75,115,3,f,
User_809,122,"1,772","4,150",167,146,134,2,f,
User_810,342,843,975,99,178,88,5,f,
User_811,114,549,378,119,124,117,9,f,
User_812,167,"1,638","1,227",259,379,362,6,f,
User_813,151,"3,180",684,212,101,193,7,f,
User_814,"2,599","2,684","7,300",19,55,44,0,f,
User_815,"2,284","4,020","2,978",160,164,200,6,f,
User_816,164,"2,326","6,920",37,29,48,7,f,
User_817,89,286,715,30,6,18,4,f,
User_818,83,"1,587","4,997",58,32,45,5,f,